ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Risk
5037048,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,With parents,44,8,1,0,0,0,Core staff,2,0
5044630,F,Y,N,1,135000,Commercial associate,Higher education,Single / not married,House / apartment,27,4,1,0,0,0,Accountants,2,0
5079079,F,N,Y,2,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,35,15,1,0,0,0,Laborers,4,0
5112872,F,Y,Y,0,360000,Commercial associate,Higher education,Single / not married,House / apartment,57,5,1,0,0,1,Managers,1,0
5105858,F,N,N,0,270000,Working,Secondary / secondary special,Separated,House / apartment,44,1,1,0,1,0,,1,0
5100411,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,36,10,1,1,0,0,Accountants,2,0
5022817,M,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,47,4,1,0,0,0,Core staff,2,0
5009811,F,N,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,32,8,1,1,1,0,Sales staff,3,0
5021541,F,Y,N,1,306000,Working,Higher education,Married,House / apartment,25,4,1,0,0,0,,3,0
5028439,M,Y,Y,0,315000,Working,Higher education,Married,House / apartment,42,9,1,0,0,0,Managers,2,0
5096280,F,N,N,0,360000,Commercial associate,Higher education,Separated,House / apartment,49,10,1,1,1,0,,1,0
5024159,F,N,Y,1,202500,Working,Secondary / secondary special,Married,House / apartment,26,3,1,0,0,0,Sales staff,3,0
5091895,M,N,N,0,157500,Commercial associate,Higher education,Single / not married,House / apartment,27,4,1,0,0,0,Sales staff,1,0
5009969,F,Y,Y,0,180000,State servant,Secondary / secondary special,Married,House / apartment,56,10,1,0,0,0,Medicine staff,2,0
5046544,F,N,Y,1,148500,Working,Secondary / secondary special,Married,House / apartment,41,2,1,0,0,0,High skill tech staff,3,0
5105991,M,N,N,0,90000,Working,Secondary / secondary special,Married,Municipal apartment,36,7,1,1,1,0,Laborers,2,0
5091715,F,Y,Y,1,157500,Working,Higher education,Married,House / apartment,26,7,1,1,0,0,Sales staff,3,0
5053194,F,N,Y,0,315000,Working,Higher education,Married,House / apartment,42,10,1,1,1,0,Accountants,2,0
5090578,F,Y,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,43,5,1,0,0,0,Sales staff,2,0
5025950,F,N,Y,0,130500,Working,Secondary / secondary special,Married,House / apartment,37,15,1,0,0,0,Core staff,2,0
5033969,F,N,Y,3,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,39,6,1,0,0,0,Sales staff,5,0
5125661,F,N,N,0,45000,State servant,Secondary / secondary special,Married,House / apartment,50,10,1,1,1,0,Core staff,2,0
5029415,F,N,Y,1,315000,State servant,Secondary / secondary special,Civil marriage,House / apartment,30,6,1,0,0,1,Core staff,3,0
5148911,M,Y,N,2,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,40,10,1,0,0,0,,4,0
5089847,F,N,Y,1,225000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,45,5,1,0,1,1,Core staff,3,0
5149881,F,Y,Y,1,391500,Commercial associate,Higher education,Married,House / apartment,47,1,1,0,1,0,Managers,3,0
5091761,F,N,N,0,157500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,41,3,1,0,0,0,Laborers,2,0
