id CodigoNacional momento Ts_Valor
"1" 330021 "17-01-2014 23:00:00" 26
"2" 330021 "18-01-2014 00:00:00" 24.1
"3" 330021 "18-01-2014 01:00:00" 22.4
"4" 330021 "18-01-2014 02:00:00" 21
"5" 330021 "18-01-2014 03:00:00" 19.8
"6" 330021 "18-01-2014 04:00:00" 19.2
"7" 330021 "18-01-2014 05:00:00" 18.8
"8" 330021 "18-01-2014 06:00:00" 18.1
"9" 330021 "18-01-2014 07:00:00" 17.8
"10" 330021 "18-01-2014 08:00:00" 17.4
"11" 330021 "18-01-2014 09:00:00" 17.5
"12" 330021 "18-01-2014 10:00:00" 16.5
"13" 330021 "18-01-2014 11:00:00" 16.7
"14" 330021 "18-01-2014 12:00:00" 18.4
"15" 330021 "18-01-2014 13:00:00" 20.9
"16" 330021 "18-01-2014 14:00:00" 22.4
"17" 330021 "18-01-2014 15:00:00" 23.6
"18" 330021 "18-01-2014 16:00:00" 24.5
"19" 330021 "18-01-2014 17:00:00" 26.3
"20" 330021 "18-01-2014 18:00:00" 28.6
"21" 330021 "18-01-2014 19:00:00" 28.9
"22" 330021 "18-01-2014 20:00:00" 29.8
"23" 330021 "18-01-2014 21:00:00" 28.7
"24" 330021 "18-01-2014 22:00:00" 27.6
"25" 330021 "18-01-2014 23:00:00" 25.9
"26" 330021 "19-01-2014 00:00:00" 25.9
"27" 330021 "19-01-2014 01:00:00" 25
"28" 330021 "19-01-2014 02:00:00" 24.1
"29" 330021 "19-01-2014 03:00:00" 21.6
"30" 330021 "19-01-2014 04:00:00" 20.8
"31" 330021 "19-01-2014 05:00:00" 20
"32" 330021 "19-01-2014 06:00:00" 19.4
"33" 330021 "19-01-2014 07:00:00" 19.5
"34" 330021 "19-01-2014 08:00:00" 19.1
"35" 330021 "19-01-2014 09:00:00" 18.3
"36" 330021 "19-01-2014 10:00:00" 16.7
"37" 330021 "19-01-2014 11:00:00" 17
"38" 330021 "19-01-2014 12:00:00" 19.7
"39" 330021 "19-01-2014 13:00:00" 21.7
"40" 330021 "19-01-2014 14:00:00" 23.3
"41" 330021 "19-01-2014 15:00:00" 25.1
"42" 330021 "19-01-2014 16:00:00" 26.4
"43" 330021 "19-01-2014 17:00:00" 28
"44" 330021 "19-01-2014 18:00:00" 29.4
"45" 330021 "19-01-2014 19:00:00" 29.6
"46" 330021 "19-01-2014 20:00:00" 29.3
"47" 330021 "19-01-2014 21:00:00" 28.1
"48" 330021 "19-01-2014 22:00:00" 27.8
"49" 330021 "19-01-2014 23:00:00" 25.7
"50" 330021 "20-01-2014 00:00:00" 22.9
"51" 330021 "20-01-2014 01:00:00" 20.9
"52" 330021 "20-01-2014 02:00:00" 19.9
"53" 330021 "20-01-2014 03:00:00" 19
"54" 330021 "20-01-2014 04:00:00" 17.5
"55" 330021 "20-01-2014 05:00:00" 16.9
"56" 330021 "20-01-2014 06:00:00" 16.7
"57" 330021 "20-01-2014 07:00:00" 16.1
"58" 330021 "20-01-2014 08:00:00" 15.6
"59" 330021 "20-01-2014 09:00:00" 15.8
"60" 330021 "20-01-2014 10:00:00" 15.2
"61" 330021 "20-01-2014 11:00:00" 15.8
"62" 330021 "20-01-2014 12:00:00" 17.9
"63" 330021 "20-01-2014 13:00:00" 19.3
"64" 330021 "20-01-2014 14:00:00" 21.5
"65" 330021 "20-01-2014 15:00:00" 23.4
"66" 330021 "20-01-2014 16:00:00" 25
"67" 330021 "20-01-2014 17:00:00" 27.6
"68" 330021 "20-01-2014 18:00:00" 28.9
"69" 330021 "20-01-2014 19:00:00" 29.1
"70" 330021 "20-01-2014 20:00:00" 28.7
"71" 330021 "20-01-2014 21:00:00" 27.2
"72" 330021 "20-01-2014 22:00:00" 25
"73" 330021 "20-01-2014 23:00:00" 22.7
"74" 330021 "21-01-2014 00:00:00" 21.3
"75" 330021 "21-01-2014 01:00:00" 18.9
"76" 330021 "21-01-2014 02:00:00" 17.9
"77" 330021 "21-01-2014 03:00:00" 17.3
"78" 330021 "21-01-2014 04:00:00" 17.2
"79" 330021 "21-01-2014 05:00:00" 15.8
"80" 330021 "21-01-2014 06:00:00" 15.4
"81" 330021 "21-01-2014 07:00:00" 15.2
"82" 330021 "21-01-2014 08:00:00" 13.7
"83" 330021 "21-01-2014 09:00:00" 13.8
"84" 330021 "21-01-2014 10:00:00" 13.5
"85" 330021 "21-01-2014 11:00:00" 14
"86" 330021 "21-01-2014 12:00:00" 16.8
"87" 330021 "21-01-2014 13:00:00" 18.7
"88" 330021 "21-01-2014 14:00:00" 21.1
"89" 330021 "21-01-2014 15:00:00" 23.2
"90" 330021 "21-01-2014 16:00:00" 26
"91" 330021 "21-01-2014 17:00:00" 27.3
"92" 330021 "21-01-2014 18:00:00" 28.6
"93" 330021 "21-01-2014 19:00:00" 29.9
"94" 330021 "21-01-2014 20:00:00" 29.5
"95" 330021 "21-01-2014 21:00:00" 28.3
"96" 330021 "21-01-2014 22:00:00" 27.1
"97" 330021 "21-01-2014 23:00:00" 24.9
"98" 330021 "22-01-2014 00:00:00" 22.3
"99" 330021 "22-01-2014 01:00:00" 21.2
"100" 330021 "22-01-2014 02:00:00" 19.8
"101" 330021 "22-01-2014 03:00:00" 19.7
"102" 330021 "22-01-2014 04:00:00" 17.9
"103" 330021 "22-01-2014 05:00:00" 17.4
"104" 330021 "22-01-2014 06:00:00" 16.6
"105" 330021 "22-01-2014 07:00:00" 15.8
"106" 330021 "22-01-2014 08:00:00" 15.1
"107" 330021 "22-01-2014 09:00:00" 14.9
"108" 330021 "22-01-2014 10:00:00" 15.1
"109" 330021 "22-01-2014 11:00:00" 15.6
"110" 330021 "22-01-2014 12:00:00" 17.5
"111" 330021 "22-01-2014 13:00:00" 19.3
"112" 330021 "22-01-2014 14:00:00" 21.2
"113" 330021 "22-01-2014 15:00:00" 22.4
"114" 330021 "22-01-2014 16:00:00" 23.7
"115" 330021 "22-01-2014 17:00:00" 25.7
"116" 330021 "22-01-2014 18:00:00" 26.1
"117" 330021 "22-01-2014 19:00:00" 25.7
"118" 330021 "22-01-2014 20:00:00" 25.9
"119" 330021 "22-01-2014 21:00:00" 25.9
"120" 330021 "22-01-2014 22:00:00" 25.1
"121" 330021 "22-01-2014 23:00:00" 24.1
"122" 330021 "23-01-2014 00:00:00" 22.9
"123" 330021 "23-01-2014 01:00:00" 21.3
"124" 330021 "23-01-2014 02:00:00" 19.8
"125" 330021 "23-01-2014 03:00:00" 18.2
"126" 330021 "23-01-2014 04:00:00" 18
"127" 330021 "23-01-2014 05:00:00" 17
"128" 330021 "23-01-2014 06:00:00" 16.3
"129" 330021 "23-01-2014 07:00:00" 15.8
"130" 330021 "23-01-2014 08:00:00" 15.2
"131" 330021 "23-01-2014 09:00:00" 15
"132" 330021 "23-01-2014 10:00:00" 14.8
"133" 330021 "23-01-2014 11:00:00" 15
"134" 330021 "23-01-2014 12:00:00" 16.8
"135" 330021 "23-01-2014 13:00:00" 18.5
"136" 330021 "23-01-2014 14:00:00" 19.7
"137" 330021 "23-01-2014 15:00:00" 21
"138" 330021 "23-01-2014 16:00:00" 22.3
"139" 330021 "23-01-2014 17:00:00" 24.3
"140" 330021 "23-01-2014 18:00:00" 25.3
"141" 330021 "23-01-2014 19:00:00" 25.9
"142" 330021 "23-01-2014 20:00:00" 26.1
"143" 330021 "23-01-2014 21:00:00" 25.4
"144" 330021 "23-01-2014 22:00:00" 24.5
"145" 330021 "23-01-2014 23:00:00" 22.8
"146" 330021 "24-01-2014 00:00:00" 20.8
"147" 330021 "24-01-2014 01:00:00" 19.7
"148" 330021 "24-01-2014 02:00:00" 19.2
"149" 330021 "24-01-2014 03:00:00" 18.4
"150" 330021 "24-01-2014 04:00:00" 17.4
"151" 330021 "24-01-2014 05:00:00" 16.6
"152" 330021 "24-01-2014 06:00:00" 15.9
"153" 330021 "24-01-2014 07:00:00" 15.5
"154" 330021 "24-01-2014 08:00:00" 14.4
"155" 330021 "24-01-2014 09:00:00" 14
"156" 330021 "24-01-2014 10:00:00" 13.1
"157" 330021 "24-01-2014 11:00:00" 14.5
"158" 330021 "24-01-2014 12:00:00" 16.7
"159" 330021 "24-01-2014 13:00:00" 18.5
"160" 330021 "24-01-2014 14:00:00" 20.1
"161" 330021 "24-01-2014 15:00:00" 22.2
"162" 330021 "24-01-2014 16:00:00" 23.8
"163" 330021 "24-01-2014 17:00:00" 25.8
"164" 330021 "24-01-2014 18:00:00" 27
"165" 330021 "24-01-2014 19:00:00" 28
"166" 330021 "24-01-2014 20:00:00" 28.4
"167" 330021 "24-01-2014 21:00:00" 27.9
"168" 330021 "24-01-2014 22:00:00" 27
"169" 330021 "24-01-2014 23:00:00" 25.4
"170" 330021 "25-01-2014 00:00:00" 23.3
"171" 330021 "25-01-2014 01:00:00" 21.9
"172" 330021 "25-01-2014 02:00:00" 20.2
"173" 330021 "25-01-2014 03:00:00" 19.2
"174" 330021 "25-01-2014 04:00:00" 18.7
"175" 330021 "25-01-2014 05:00:00" 18
"176" 330021 "25-01-2014 06:00:00" 17.2
"177" 330021 "25-01-2014 07:00:00" 16.2
"178" 330021 "25-01-2014 08:00:00" 15.6
"179" 330021 "25-01-2014 09:00:00" 14.4
"180" 330021 "25-01-2014 10:00:00" 14
"181" 330021 "25-01-2014 11:00:00" 14.3
"182" 330021 "25-01-2014 12:00:00" 17.6
"183" 330021 "25-01-2014 13:00:00" 20.1
"184" 330021 "25-01-2014 14:00:00" 22.2
"185" 330021 "25-01-2014 15:00:00" 24.1
"186" 330021 "25-01-2014 16:00:00" 26
"187" 330021 "25-01-2014 17:00:00" 27.5
"188" 330021 "25-01-2014 18:00:00" 28.7
"189" 330021 "25-01-2014 19:00:00" 29.5
"190" 330021 "25-01-2014 20:00:00" 29.9
"191" 330021 "25-01-2014 21:00:00" 28.9
"192" 330021 "25-01-2014 22:00:00" 27.7
"193" 330021 "25-01-2014 23:00:00" 25.3
"194" 330021 "26-01-2014 00:00:00" 22.6
"195" 330021 "26-01-2014 01:00:00" 21.6
"196" 330021 "26-01-2014 02:00:00" 19.8
"197" 330021 "26-01-2014 03:00:00" 18.8
"198" 330021 "26-01-2014 04:00:00" 17.8
"199" 330021 "26-01-2014 05:00:00" 17
"200" 330021 "26-01-2014 06:00:00" 16.5
"201" 330021 "26-01-2014 07:00:00" 15.9
"202" 330021 "26-01-2014 08:00:00" 15
"203" 330021 "26-01-2014 09:00:00" 14.3
"204" 330021 "26-01-2014 10:00:00" 14.2
"205" 330021 "26-01-2014 11:00:00" 14.3
"206" 330021 "26-01-2014 12:00:00" 16.3
"207" 330021 "26-01-2014 13:00:00" 18.6
"208" 330021 "26-01-2014 14:00:00" 20.8
"209" 330021 "26-01-2014 15:00:00" 22.6
"210" 330021 "26-01-2014 16:00:00" 24.5
"211" 330021 "26-01-2014 17:00:00" 25.7
"212" 330021 "26-01-2014 18:00:00" 27.5
"213" 330021 "26-01-2014 19:00:00" 28.3
"214" 330021 "26-01-2014 20:00:00" 28.3
"215" 330021 "26-01-2014 21:00:00" 27.5
"216" 330021 "26-01-2014 22:00:00" 26
"217" 330021 "26-01-2014 23:00:00" 23.1
"218" 330021 "27-01-2014 00:00:00" 20.7
"219" 330021 "27-01-2014 01:00:00" 19.4
"220" 330021 "27-01-2014 02:00:00" 18.8
"221" 330021 "27-01-2014 03:00:00" 16.5
"222" 330021 "27-01-2014 04:00:00" 15.7
"223" 330021 "27-01-2014 05:00:00" 14.9
"224" 330021 "27-01-2014 06:00:00" 14.2
"225" 330021 "27-01-2014 07:00:00" 13.5
"226" 330021 "27-01-2014 08:00:00" 12.9
"227" 330021 "27-01-2014 09:00:00" 12.5
"228" 330021 "27-01-2014 10:00:00" 12.1
"229" 330021 "27-01-2014 11:00:00" 12.3
"230" 330021 "27-01-2014 12:00:00" 13.8
"231" 330021 "27-01-2014 13:00:00" 15.7
"232" 330021 "27-01-2014 14:00:00" 17.1
"233" 330021 "27-01-2014 15:00:00" 19
"234" 330021 "27-01-2014 16:00:00" 20.8
"235" 330021 "27-01-2014 17:00:00" 22.4
"236" 330021 "27-01-2014 18:00:00" 24.1
"237" 330021 "27-01-2014 19:00:00" 24.2
"238" 330021 "27-01-2014 20:00:00" 25.2
"239" 330021 "27-01-2014 21:00:00" 25.3
"240" 330021 "27-01-2014 22:00:00" 24.4
"241" 330021 "27-01-2014 23:00:00" 23
"242" 330021 "28-01-2014 00:00:00" 20.3
"243" 330021 "28-01-2014 01:00:00" 19.4
"244" 330021 "28-01-2014 02:00:00" 17.7
"245" 330021 "28-01-2014 03:00:00" 16.9
"246" 330021 "28-01-2014 04:00:00" 15.9
"247" 330021 "28-01-2014 05:00:00" 15.3
"248" 330021 "28-01-2014 06:00:00" 14.8
"249" 330021 "28-01-2014 07:00:00" 14.4
"250" 330021 "28-01-2014 08:00:00" 13.7
"251" 330021 "28-01-2014 09:00:00" 13.6
"252" 330021 "28-01-2014 10:00:00" 12
"253" 330021 "28-01-2014 11:00:00" 12.8
"254" 330021 "28-01-2014 12:00:00" 15.4
"255" 330021 "28-01-2014 13:00:00" 17.7
"256" 330021 "28-01-2014 14:00:00" 19.5
"257" 330021 "28-01-2014 15:00:00" 22.1
"258" 330021 "28-01-2014 16:00:00" 24.4
"259" 330021 "28-01-2014 17:00:00" 26.4
"260" 330021 "28-01-2014 18:00:00" 27.9
"261" 330021 "28-01-2014 19:00:00" 29.3
"262" 330021 "28-01-2014 20:00:00" 29.2
"263" 330021 "28-01-2014 21:00:00" 28.8
"264" 330021 "28-01-2014 22:00:00" 28.4
"265" 330021 "28-01-2014 23:00:00" 27.3
"266" 330021 "29-01-2014 00:00:00" 24.3
"267" 330021 "29-01-2014 01:00:00" 23
"268" 330021 "29-01-2014 02:00:00" 22.2
"269" 330021 "29-01-2014 03:00:00" 21.3
"270" 330021 "29-01-2014 04:00:00" 20.1
"271" 330021 "29-01-2014 05:00:00" 19.1
"272" 330021 "29-01-2014 06:00:00" 17.2
"273" 330021 "29-01-2014 07:00:00" 16.5
"274" 330021 "29-01-2014 08:00:00" 15.6
"275" 330021 "29-01-2014 09:00:00" 15.1
"276" 330021 "29-01-2014 10:00:00" 15
"277" 330021 "29-01-2014 11:00:00" 15.9
"278" 330021 "29-01-2014 12:00:00" 19.4
"279" 330021 "29-01-2014 13:00:00" 22.8
"280" 330021 "29-01-2014 14:00:00" 24.3
"281" 330021 "29-01-2014 15:00:00" 26.3
"282" 330021 "29-01-2014 16:00:00" 28.9
"283" 330021 "29-01-2014 17:00:00" 30.4
"284" 330021 "29-01-2014 18:00:00" 32.2
"285" 330021 "29-01-2014 19:00:00" 32.5
"286" 330021 "29-01-2014 20:00:00" 33
"287" 330021 "29-01-2014 21:00:00" 31.7
"288" 330021 "29-01-2014 22:00:00" 29.5
"289" 330021 "29-01-2014 23:00:00" 27.6
"290" 330021 "30-01-2014 00:00:00" 26.2
"291" 330021 "30-01-2014 01:00:00" 24.5
"292" 330021 "30-01-2014 02:00:00" 23
"293" 330021 "30-01-2014 03:00:00" 22.4
"294" 330021 "30-01-2014 04:00:00" 20.6
"295" 330021 "30-01-2014 05:00:00" 19.9
"296" 330021 "30-01-2014 06:00:00" 18.2
"297" 330021 "30-01-2014 07:00:00" 16.6
"298" 330021 "30-01-2014 08:00:00" 16.5
"299" 330021 "30-01-2014 09:00:00" 16.8
"300" 330021 "30-01-2014 10:00:00" 15.5
"301" 330021 "30-01-2014 11:00:00" 15
"302" 330021 "30-01-2014 12:00:00" 18.9
"303" 330021 "30-01-2014 13:00:00" 22.8
"304" 330021 "30-01-2014 14:00:00" 24.4
"305" 330021 "30-01-2014 15:00:00" 27.1
"306" 330021 "30-01-2014 16:00:00" 28.2
"307" 330021 "30-01-2014 17:00:00" 29.8
"308" 330021 "30-01-2014 18:00:00" 30.7
"309" 330021 "30-01-2014 19:00:00" 30.9
"310" 330021 "30-01-2014 20:00:00" 30.2
"311" 330021 "30-01-2014 21:00:00" 29.8
"312" 330021 "30-01-2014 22:00:00" 28.1
"313" 330021 "30-01-2014 23:00:00" 26.2
"314" 330021 "31-01-2014 00:00:00" 24.7
"315" 330021 "31-01-2014 01:00:00" 24
"316" 330021 "31-01-2014 02:00:00" 22.7
"317" 330021 "31-01-2014 03:00:00" 20.7
